Date,Symbol,Order,Shares
2008-01-30,IBM,BUY,100
2008-02-06,IBM,SELL,200
2008-02-11,IBM,BUY,200
2008-03-28,IBM,SELL,200
2008-04-01,IBM,BUY,200
2008-04-02,IBM,SELL,200
2008-04-03,IBM,BUY,200
2008-05-21,IBM,SELL,200
2008-05-22,IBM,BUY,200
2008-05-23,IBM,SELL,200
2008-05-27,IBM,BUY,200
2008-06-06,IBM,SELL,200
2008-06-13,IBM,BUY,200
2008-06-17,IBM,SELL,200
2008-07-08,IBM,BUY,200
2008-07-09,IBM,SELL,200
2008-07-10,IBM,BUY,200
2008-07-11,IBM,SELL,200
2008-07-15,IBM,BUY,200
2008-08-11,IBM,SELL,200
2008-08-14,IBM,BUY,200
2008-08-15,IBM,SELL,200
2008-09-19,IBM,BUY,200
2008-09-22,IBM,SELL,200
2008-09-25,IBM,BUY,200
2008-09-29,IBM,SELL,200
2008-10-31,IBM,BUY,200
2008-11-05,IBM,SELL,200
2008-12-08,IBM,BUY,200
2008-12-11,IBM,SELL,200
2008-12-12,IBM,BUY,200
2008-12-22,IBM,SELL,200
2008-12-30,IBM,BUY,200
2009-01-14,IBM,SELL,200
2009-01-16,IBM,BUY,200
2009-01-20,IBM,SELL,200
2009-01-21,IBM,BUY,200
2009-02-17,IBM,SELL,200
2009-02-27,IBM,BUY,200
2009-03-02,IBM,SELL,200
2009-03-11,IBM,BUY,200
2009-05-08,IBM,SELL,200
2009-05-11,IBM,BUY,200
2009-05-14,IBM,SELL,200
2009-05-18,IBM,BUY,200
2009-05-22,IBM,SELL,200
2009-05-26,IBM,BUY,200
2009-06-18,IBM,SELL,200
2009-06-25,IBM,BUY,200
2009-06-26,IBM,SELL,200
2009-07-15,IBM,BUY,200
2009-09-01,IBM,SELL,200
2009-09-10,IBM,BUY,200
2009-09-28,IBM,SELL,200
2009-10-05,IBM,BUY,200
2009-10-16,IBM,SELL,200
2009-10-19,IBM,BUY,200
2009-10-20,IBM,SELL,200
2009-10-29,IBM,BUY,200
2009-10-30,IBM,SELL,200
2009-11-05,IBM,BUY,200
2009-11-27,IBM,SELL,200
2009-11-30,IBM,BUY,200
2009-12-17,IBM,SELL,200
2009-12-18,IBM,BUY,200
